project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuCxxgZwiQcLewr,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 12:16:44,2017-07-03 12:16:44,,Complete the task associated to this TODO comment.,QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/VisitorSet.java,28.0,28.0,0.0,25.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuCxxgZwiQcLews,CODE_SMELL,squid:S1481,MAJOR,OPEN,,5,5,unused,2017-07-03 12:16:44,2017-07-03 12:16:44,,"Remove this unused ""it"" local variable.",QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/VisitorSet.java,57.0,57.0,23.0,25.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuCxxgZwiQcLewt,CODE_SMELL,squid:CommentedOutCodeLine,MAJOR,OPEN,,5,5,"misra,unused",2017-07-03 12:16:44,2017-07-03 12:16:44,,This block of commented-out lines of code should be removed.,QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/VisitorSet.java,118.0,118.0,0.0,8.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuCxxgZwiQcLewu,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 12:16:44,2017-07-03 12:16:44,,Long method,QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/VisitorSet.java,1.0,1.0,0.0,23.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuRxxgZwiQcLewv,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 12:16:44,2017-07-03 12:16:44,,Complete the task associated to this TODO comment.,QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/AbstractCheckVisitor.java,18.0,18.0,0.0,34.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuRxxgZwiQcLeww,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 12:16:44,2017-07-03 12:16:44,,Move the array designator from the variable to the type.,QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/AbstractCheckVisitor.java,76.0,76.0,86.0,87.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuRxxgZwiQcLewx,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 12:16:44,2017-07-03 12:16:44,,Move the array designator from the variable to the type.,QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/AbstractCheckVisitor.java,92.0,92.0,80.0,81.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuRxxgZwiQcLewy,CODE_SMELL,squid:S1197,MINOR,OPEN,,5,5,convention,2017-07-03 12:16:44,2017-07-03 12:16:44,,Move the array designator from the variable to the type.,QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/AbstractCheckVisitor.java,118.0,118.0,65.0,66.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuRxxgZwiQcLewz,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-03 12:16:44,2017-07-03 12:16:44,,"Rename this field ""NO_FILE"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/AbstractCheckVisitor.java,27.0,27.0,19.0,26.0,,
QC:checkstyle,AV0IZsScxxgZwiQcLeiw,AV0IZsScxxgZwiQcLeiw,AV0IZsuRxxgZwiQcLew0,CODE_SMELL,squid:S1319,MAJOR,OPEN,,10,10,bad-practice,2017-07-03 12:16:44,2017-07-03 12:16:44,,"The type of the ""aMessageMap"" object should be an interface such as ""Map"" rather than the implementation ""HashMap"".",QC:checkstyle:contrib/bcel/src/checkstyle/com/puppycrawl/tools/checkstyle/bcel/AbstractCheckVisitor.java,62.0,62.0,36.0,43.0,,
