project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AJ,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 09:20:23,2017-07-03 09:20:23,,Replace this use of System.out or System.err by a logger.,QC:jasml:doc/SimpleClass.java,12.0,12.0,0.0,10.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AK,VULNERABILITY,squid:ClassVariableVisibilityCheck,MAJOR,OPEN,,10,10,cwe,2017-07-03 09:20:23,2017-07-03 09:20:23,,Make aStaticField a static final constant or non-public and provide accessors if needed.,QC:jasml:doc/SimpleClass.java,5.0,5.0,21.0,33.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AL,CODE_SMELL,squid:RedundantThrowsDeclarationCheck,MINOR,OPEN,,5,5,"clumsy,redundant,unused",2017-07-03 09:20:23,2017-07-03 09:20:23,,Remove the declaration of thrown exception 'java.io.IOException' which is a subclass of 'java.lang.Exception'.,QC:jasml:doc/SimpleClass.java,11.0,11.0,28.0,39.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AM,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-03 09:20:23,2017-07-03 09:20:23,,Do not forget to remove this deprecated code someday.,QC:jasml:doc/SimpleClass.java,9.0,9.0,17.0,28.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AN,CODE_SMELL,squid:ModifiersOrderCheck,MINOR,OPEN,,2,2,convention,2017-07-03 09:20:23,2017-07-03 09:20:23,,Reorder the modifiers to comply with the Java Language Specification.,QC:jasml:doc/SimpleClass.java,10.0,10.0,13.0,19.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AO,CODE_SMELL,squid:MissingDeprecatedCheck,MAJOR,OPEN,,5,5,"bad-practice,obsolete",2017-07-03 09:20:23,2017-07-03 09:20:23,,Add the missing @Deprecated annotation.,QC:jasml:doc/SimpleClass.java,9.0,9.0,17.0,28.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AP,CODE_SMELL,squid:S1598,MAJOR,OPEN,,5,5,pitfall,2017-07-03 09:20:23,2017-07-03 09:20:23,,"This file ""SimpleClass.java"" should be located in ""testpackage"" directory, not in ""/var/SQuaSME/QC-projects/batch6/jasml-0.10/doc"".",QC:jasml:doc/SimpleClass.java,1.0,1.0,8.0,19.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AQ,CODE_SMELL,squid:S1170,MINOR,OPEN,,2,2,convention,2017-07-03 09:20:23,2017-07-03 09:20:23,,Make this final field static too.,QC:jasml:doc/SimpleClass.java,9.0,9.0,17.0,28.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AR,VULNERABILITY,squid:S1444,CRITICAL,OPEN,,20,20,"cert,cwe",2017-07-03 09:20:23,2017-07-03 09:20:23,,"Make this ""public static aStaticField"" field final",QC:jasml:doc/SimpleClass.java,5.0,5.0,21.0,33.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AS,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-03 09:20:23,2017-07-03 09:20:23,,Either log or rethrow this exception.,QC:jasml:doc/SimpleClass.java,20.0,20.0,9.0,20.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AT,CODE_SMELL,squid:S00112,MAJOR,OPEN,,20,20,"cert,cwe,error-handling",2017-07-03 09:20:23,2017-07-03 09:20:23,,Define and throw a dedicated exception instead of using a generic one.,QC:jasml:doc/SimpleClass.java,11.0,11.0,41.0,50.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AU,CODE_SMELL,squid:S1186,MAJOR,OPEN,,5,5,suspicious,2017-07-03 09:20:23,2017-07-03 09:20:23,,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",QC:jasml:doc/SimpleClass.java,15.0,15.0,12.0,15.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AV,CODE_SMELL,squid:S00115,MINOR,OPEN,,2,2,convention,2017-07-03 09:20:23,2017-07-03 09:20:23,,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,QC:jasml:doc/SimpleClass.java,10.0,10.0,24.0,41.0,,
QC:jasml,AV0HwOqwxxgZwiQcK3_W,AV0HwOqwxxgZwiQcK3_W,AV0HwOvpxxgZwiQcK4AW,BUG,squid:S2123,CRITICAL,OPEN,,5,5,unused,2017-07-03 09:20:23,2017-07-03 09:20:23,,Remove this increment or correct the code not to waste it.,QC:jasml:doc/SimpleClass.java,21.0,21.0,5.0,7.0,,
