project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_T,CODE_SMELL,squid:EmptyStatementUsageCheck,MINOR,OPEN,,2,2,"cert,misra,unused",2017-07-04 03:47:17,2017-07-04 03:47:17,,Remove this empty statement.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,153.0,153.0,98.0,99.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_V,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,169.0,169.0,0.0,91.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_W,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,11,11,brain-overload,2017-07-04 03:47:17,2017-07-04 03:47:17,,"The Cyclomatic Complexity of this method ""getDependencies"" is 11 which is greater than 10 authorized.",QC:emma:tools/java/com/vladium/tools/ClassDep.java,111.0,111.0,21.0,36.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_X,CODE_SMELL,squid:S1066,MAJOR,OPEN,,5,5,clumsy,2017-07-04 03:47:17,2017-07-04 03:47:17,,Merge this if statement with the enclosing one.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,171.0,171.0,20.0,22.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_Z,CODE_SMELL,squid:S1199,MAJOR,OPEN,,10,10,bad-practice,2017-07-04 03:47:17,2017-07-04 03:47:17,,Extract this nested code block into a method.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,68.0,68.0,8.0,9.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_b,CODE_SMELL,squid:S1166,CRITICAL,OPEN,,10,10,"cert,error-handling,suspicious",2017-07-04 03:47:17,2017-07-04 03:47:17,,Either log or rethrow this exception.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,158.0,158.0,60.0,78.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_d,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-04 03:47:17,2017-07-04 03:47:17,,Move this variable to comply with Java Code Conventions.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,216.0,216.0,28.0,37.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_e,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-04 03:47:17,2017-07-04 03:47:17,,Move this variable to comply with Java Code Conventions.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,217.0,217.0,25.0,36.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_g,CODE_SMELL,squid:S00116,MINOR,OPEN,,2,2,convention,2017-07-04 03:47:17,2017-07-04 03:47:17,,"Rename this field ""m_classPath"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",QC:emma:tools/java/com/vladium/tools/ClassDep.java,217.0,217.0,25.0,36.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_i,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-04 03:47:17,2017-07-04 03:47:17,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,75.0,75.0,23.0,28.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_j,CODE_SMELL,squid:S00117,MINOR,OPEN,,2,2,convention,2017-07-04 03:47:17,2017-07-04 03:47:17,,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,QC:emma:tools/java/com/vladium/tools/ClassDep.java,114.0,114.0,47.0,54.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_l,CODE_SMELL,squid:S00122,MINOR,OPEN,,1,1,style,2017-07-04 03:47:17,2017-07-04 03:47:17,,"At most one statement is allowed per line, but 2 statements were found on this line.",QC:emma:tools/java/com/vladium/tools/ClassDep.java,86.0,86.0,0.0,46.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_o,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-04 03:47:17,2017-07-04 03:47:17,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:emma:tools/java/com/vladium/tools/ClassDep.java,78.0,78.0,14.0,26.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0Cot6tne_r57s_r,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-04 03:47:17,2017-07-04 03:47:17,,Long method,QC:emma:tools/java/com/vladium/tools/ClassDep.java,1.0,1.0,0.0,62.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_t,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-04 03:47:17,2017-07-04 03:47:17,,Replace this use of System.out or System.err by a logger.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,453.0,453.0,24.0,34.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_v,CODE_SMELL,squid:S1488,MINOR,OPEN,,2,2,clumsy,2017-07-04 03:47:17,2017-07-04 03:47:17,,"Immediately return this expression instead of assigning it to the temporary variable ""method"".",QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,588.0,588.0,35.0,107.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_x,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,514.0,514.0,0.0,34.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_y,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,530.0,530.0,0.0,53.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_z,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,541.0,541.0,0.0,61.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_2,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,560.0,560.0,0.0,53.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_5,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,605.0,605.0,0.0,33.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_6,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,608.0,608.0,0.0,85.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_8,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,625.0,625.0,0.0,85.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s_9,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-04 03:47:17,2017-07-04 03:47:17,,Complete the task associated to this TODO comment.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,713.0,713.0,0.0,26.0,,
QC:emma,AV0Ltz51t6tne_r57s7s,AV0Ltz51t6tne_r57s7s,AV0Lt0C3t6tne_r57s__,CODE_SMELL,squid:S1199,MAJOR,OPEN,,10,10,bad-practice,2017-07-04 03:47:17,2017-07-04 03:47:17,,Extract this nested code block into a method.,QC:emma:core/java12/com/vladium/jcd/cls/ClassDef.java,283.0,283.0,16.0,17.0,,
