project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6bGt6tne_r58UTB,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/analysis/TokenStreamToAutomaton.java,35.0,35.0,0.0,79.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6bWt6tne_r58UTZ,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/analysis/tokenattributes/OffsetAttributeImpl.java,38.0,38.0,0.0,55.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6bWt6tne_r58UTa,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/analysis/tokenattributes/OffsetAttributeImpl.java,61.0,61.0,0.0,58.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6b1t6tne_r58UT0,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/ConjunctionTermScorer.java,100.0,100.0,0.0,88.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6b1t6tne_r58UT9,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/FieldCacheRangeFilter.java,145.0,145.0,0.0,76.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6cFt6tne_r58UUg,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/SortField.java,26.0,26.0,0.0,63.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6cUt6tne_r58UVi,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/TermRangeQuery.java,124.0,124.0,0.0,99.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UVm,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/ScoringRewrite.java,90.0,90.0,0.0,55.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UVs,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/FilteredQuery.java,309.0,309.0,0.0,91.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UVt,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/FilteredQuery.java,529.0,529.0,0.0,97.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UVu,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/FilteredQuery.java,547.0,547.0,0.0,92.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UWC,CODE_SMELL,squid:S1133,INFO,OPEN,,10,10,obsolete,2017-07-05 14:51:26,2017-07-05 14:51:26,,Do not forget to remove this deprecated code someday.,QC:lucene:core/src/java/org/apache/lucene/search/IndexSearcher.java,211.0,211.0,24.0,32.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UWD,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/IndexSearcher.java,361.0,361.0,0.0,59.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UWE,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/IndexSearcher.java,394.0,394.0,0.0,59.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UWF,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/IndexSearcher.java,420.0,420.0,0.0,59.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6ckt6tne_r58UWG,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/IndexSearcher.java,598.0,598.0,0.0,32.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6dDt6tne_r58UWo,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/TopFieldCollector.java,37.0,37.0,0.0,54.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6dDt6tne_r58UXH,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/CachingWrapperFilter.java,37.0,37.0,0.0,74.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6dit6tne_r58UX3,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/SearcherLifetimeManager.java,142.0,142.0,0.0,56.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6dit6tne_r58UX4,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/SearcherLifetimeManager.java,168.0,168.0,0.0,57.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6dit6tne_r58UX_,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/DisjunctionSumScorer.java,105.0,105.0,0.0,62.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6dit6tne_r58UYA,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/DisjunctionSumScorer.java,106.0,106.0,0.0,28.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6dit6tne_r58UYB,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/DisjunctionSumScorer.java,107.0,107.0,0.0,59.0,,
QC:lucene,AV0Tw3syt6tne_r58UB3,AV0Tw3syt6tne_r58UB3,AV0Tw6dyt6tne_r58UYP,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-05 14:51:26,2017-07-05 14:51:26,,Complete the task associated to this TODO comment.,QC:lucene:core/src/java/org/apache/lucene/search/Scorer.java,46.0,46.0,0.0,31.0,,
