project,current_analysis_key,creation_analysis_key,issue_key,type,rule,severity,status,resolution,effort,debt,tags,creation_date,update_date,close_date,message,component,start_line,end_line,start_offset,end_offset,hash,from_hotspot
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZZ,CODE_SMELL,squid:MethodCyclomaticComplexity,MAJOR,OPEN,,23,23,brain-overload,2017-07-03 15:02:17,2017-07-03 15:02:17,,"The Cyclomatic Complexity of this method ""generateSchedule"" is 23 which is greater than 10 authorized.",QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleGenerator.java,364.0,364.0,28.0,44.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZb,CODE_SMELL,squid:S1192,MINOR,OPEN,,10,10,design,2017-07-03 15:02:17,2017-07-03 15:02:17,,"Define a constant instead of duplicating this literal ""Maximum number of periods ("" 4 times.",QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleGenerator.java,411.0,411.0,33.0,62.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZe,CODE_SMELL,squid:S1312,MINOR,OPEN,,5,5,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,"Make the ""logger"" logger private static final and rename it to comply with the format ""LOG(?:GER)?"".",QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleGenerator.java,40.0,40.0,23.0,29.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZf,CODE_SMELL,squid:S134,MAJOR,OPEN,,10,10,brain-overload,2017-07-03 15:02:17,2017-07-03 15:02:17,,Refactor this code to not nest more than 3 if/for/while/switch/try statements.,QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleGenerator.java,390.0,390.0,5.0,7.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZh,CODE_SMELL,code_smells:long_parameter_list,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 15:02:17,2017-07-03 15:02:17,,Long parameter list,QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleGenerator.java,1.0,1.0,0.0,2.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZj,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:jFin_DateMath:src/main/java/org/jfin/date/BusinessDayConvention.java,,,,,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZk,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:jFin_DateMath:src/main/java/org/jfin/date/Initialisable.java,,,,,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZm,CODE_SMELL,squid:S1135,INFO,OPEN,,,,cwe,2017-07-03 15:02:17,2017-07-03 15:02:17,,Complete the task associated to this TODO comment.,QC:jFin_DateMath:src/main/java/org/jfin/date/Tenor.java,60.0,60.0,0.0,72.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZo,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:jFin_DateMath:src/main/java/org/jfin/date/Tenor.java,,,,,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZq,CODE_SMELL,squid:S00108,MAJOR,OPEN,,5,5,suspicious,2017-07-03 15:02:17,2017-07-03 15:02:17,,Either remove or fill this block of code.,QC:jFin_DateMath:src/main/java/org/jfin/date/Tenor.java,106.0,106.0,2.0,3.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZr,CODE_SMELL,squid:S00108,MAJOR,OPEN,,5,5,suspicious,2017-07-03 15:02:17,2017-07-03 15:02:17,,Either remove or fill this block of code.,QC:jFin_DateMath:src/main/java/org/jfin/date/Tenor.java,115.0,115.0,2.0,3.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZt,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Move this constructor to comply with Java Code Conventions.,QC:jFin_DateMath:src/main/java/org/jfin/date/Tenor.java,145.0,145.0,8.0,13.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Gt6tne_r55jZv,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleException.java,,,,,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jZy,CODE_SMELL,squid:S1226,MAJOR,OPEN,,5,5,"misra,pitfall",2017-07-03 15:02:17,2017-07-03 15:02:17,,"Introduce a new variable instead of reusing the parameter ""startDate"".",QC:jFin_DateMath:src/main/java/org/jfin/date/TypedScheduleGenerator.java,105.0,105.0,2.0,11.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jZ0,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:jFin_DateMath:src/main/java/org/jfin/date/TypedScheduleGenerator.java,,,,,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jZ2,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 15:02:17,2017-07-03 15:02:17,,Complex class,QC:jFin_DateMath:src/main/java/org/jfin/date/TypedScheduleGenerator.java,1.0,1.0,0.0,2.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jZ3,CODE_SMELL,code_smells:long_method,MAJOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 15:02:17,2017-07-03 15:02:17,,Long method,QC:jFin_DateMath:src/main/java/org/jfin/date/TypedScheduleGenerator.java,1.0,1.0,0.0,2.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jZ5,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleCutter.java,,,,,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jZ7,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:jFin_DateMath:src/main/java/org/jfin/date/Period.java,,,,,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jZ9,BUG,squid:S1182,MAJOR,OPEN,,20,20,"cert,cwe",2017-07-03 15:02:17,2017-07-03 15:02:17,,Use super.clone() to create and seed the cloned instance to be returned.,QC:jFin_DateMath:src/main/java/org/jfin/date/Period.java,70.0,70.0,15.0,20.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jZ_,CODE_SMELL,squid:S1213,MINOR,OPEN,,5,5,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Move this constructor to comply with Java Code Conventions.,QC:jFin_DateMath:src/main/java/org/jfin/date/Period.java,99.0,99.0,8.0,14.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4Vt6tne_r55jaB,CODE_SMELL,code_smells:complex_class,MINOR,OPEN,,90,90,"antipattern,code-smell",2017-07-03 15:02:17,2017-07-03 15:02:17,,Complex class,QC:jFin_DateMath:src/main/java/org/jfin/date/Period.java,1.0,1.0,0.0,2.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4lt6tne_r55jaD,CODE_SMELL,squid:S00101,MINOR,OPEN,,5,5,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.,QC:jFin_DateMath:src/main/java/org/jfin/date/util/jfinLoggingFormatter.java,34.0,34.0,13.0,33.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4lt6tne_r55jaF,CODE_SMELL,squid:S1149,MAJOR,OPEN,,20,20,performance,2017-07-03 15:02:17,2017-07-03 15:02:17,,"Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".",QC:jFin_DateMath:src/main/java/org/jfin/date/util/jfinLoggingFormatter.java,40.0,40.0,2.0,14.0,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4lt6tne_r55jaH,CODE_SMELL,squid:S00105,MINOR,OPEN,,2,2,convention,2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace all tab characters in this file by sequences of white-spaces.,QC:jFin_DateMath:src/main/java/org/jfin/date/util/ISDADateFormat.java,,,,,,
QC:jFin_DateMath,AV0I-_vTt6tne_r55jSH,AV0I-_vTt6tne_r55jSH,AV0I-_4lt6tne_r55jaJ,CODE_SMELL,squid:S106,MAJOR,OPEN,,10,10,"bad-practice,cert",2017-07-03 15:02:17,2017-07-03 15:02:17,,Replace this use of System.out or System.err by a logger.,QC:jFin_DateMath:src/example/java/DaycountFractionCalculator.java,101.0,101.0,3.0,13.0,,
